name,address,rating,reviews,type,phone,website,maps_url
Gourmet Central Bake House,17637 Vierra Canyon Rd,4.8,46,Bakery,UNKNOWN,UNKNOWN,https://www.google.com/maps/search/Gourmet+Central+Bake+House
Prunedale Donut & Bakery,7945 San Miguel Canyon Rd,4.7,135,Donuts,UNKNOWN,UNKNOWN,https://www.google.com/maps/search/Prunedale+Donut+&+Bakery
Villa Rivera Café,142 W Alisal St Ste. E-112,5.0,24,Coffee shop,UNKNOWN,UNKNOWN,https://www.google.com/maps/search/Villa+Rivera+Café
"Con Azúcar Café Salinas, CA",1746 N Main St,3.6,57,Coffee shop,UNKNOWN,UNKNOWN,"https://www.google.com/maps/search/Con+Azúcar+Café+Salinas,+CA"
